ID,Population,Latitude,Longitude
746,AX-AI,4.83000000002,-83.93333333334
751,AX-AM,23.7333333333,121.4
752,AX-AT,24.6333333333,121.4333333333
753,AX-ME,-6.2333333333,155.1333333333
754,CEU,39.9166666667,-116.3833333333
755,CHB,39.9833333333,116.3833333333
711,CN-CC,23.875,109.175
713,CN-GA,23.3333333333,113.5
714,CN-HM,26.25,108.6666666667
715,CN-JI,18.9333333333,109.8166666667
716,CN-JN,22,101
717,CN-SH,31.2166666667,121.5
718,CN-UG,37.05,86.6166666667
719,CN-WA,22.59166666665,100.0083333333
721,ID-AL,-8.2833333333,124.7333333333
722,ID-DY,1.2333333333,116.6666666667
723,ID-JA,-6.15,106.7
724,ID-JV,-7.3333333333,110.3666666667
725,ID-KR,1.5166666667,99.95
726,ID-LA,-8.3333333333,123
727,ID-LE,-8.3,124.6666666667
728,ID-ML,-2.9833333333,104.7333333333
729,ID-MT,-0.2833333333,98.4166666667
730,ID-RA,-8.65,120.45
731,ID-SB,-9.75,120
732,ID-SO,-8.6333333333,120.1166666667
733,ID-SU,-6.15,106.7
734,ID-TB,2.3166666667,99.0666666667
735,ID-TR,-4.7333333333,119.7166666667
736,IN-DR,15.36666666665,76.25833333335
738,IN-EL,22.95,88.1833333333
739,IN-IL,26.65,74
740,IN-NI,30.4,79.1666666667
741,IN-NL,26.7666666667,81.4166666667
742,IN-SP,29.1166666667,76.4833333333
743,IN-TB,34.6833333333,76.45
744,IN-WI,26.65,74
745,IN-WL,19.6833333333,75.8666666667
649,JP-ML,35.6666666667,139.75
650,JP-RK,26.4666666667,127.9333333333
756,JPT,35.69,139.82
678,KR-KR,36.9365805556,127.4937555556
644,MY-BD,1.4158333333,110.1480555556
646,MY-JH,5.4166666667,101.1330555556
647,MY-KN,6.1180888889,102.2397916667
645,MY-KS,5.6666666667,100.9166666667
648,MY-MN,2.7,101.9333333333
642,MY-TM,2.8330555556,102.1665277778
668,PI-AE,14.78999999998,120.35333333334
659,PI-AG,13.6388888889,123.244444444433
651,PI-AT,11.204166666675,122.216666666663
673,PI-IR,13.38333333335,121.125
662,PI-MA,8.1666666667,125.8666666667
663,PI-MW,9.63666666664,125.60666666666
677,PI-UB,17.1666666667,121.9
675,PI-UI,6.9,122.0666666667
676,PI-UN,14.6333333333,121.0333333333
708,SG-CH,1.35,103.8
710,SG-ID,1.35,103.8
709,SG-ML,1.35,103.8
679,TH-HM,19.25416666665,99.216666666675
683,TH-KA,19.0166666666667,98.1555555555333
686,TH-LW,18.35,98.0833333333
687,TH-MA,18.7,100.4666666667
688,TH-MO,18.5166666667,98.9
689,TH-PL,19.9333333333,99.15
691,TH-PP,20.275,99.85
693,TH-TK,18.6333333333,98.85
694,TH-TL,19.00833333335,100.025
696,TH-TN,19.29166666665,100.89166666665
698,TH-TU,17.783333333325,99.399999999975
702,TH-TY,18.4,98.9333333333
703,TH-YA,19.3833333333,100.422222222233
706,TW-HA,25.0333333333,121.5166666667
707,TW-HB,25.0333333333,121.5166666667
757,YRI,7.4,3.9
