MY-TM,2.93305555555556,102.083055555556
MY-TM,2.73305555555556,102.25
MY-BD,1.41583333333333,110.148055555556
MY-KS,5.66666666666667,100.916666666667
MY-JH,5.41666666666667,101.133055555556
MY-KN,6.11808888888889,102.239791666667
MY-MN,2.7,101.933333333333
JP-ML,35.6666666666667,139.75
JP-RK,26.4666666666667,127.933333333333
PI-AT,11.8833333333333,121.95
PI-AT,11.85,121.883333333333
PI-AT,11.9833333333333,121.916666666667
PI-AT,11.2666666666667,122.683333333333
PI-AT,11.05,122.85
PI-AT,10.5166666666667,121.95
PI-AT,10.4166666666667,121.916666666667
PI-AT,10.6666666666667,122.583333333333
PI-AG,13.45,123.433333333333
PI-AG,13.9166666666667,122.933333333333
PI-AG,13.55,123.366666666667
PI-MA,8.16666666666667,125.866666666667
PI-MW,9.88333333333333,125.516666666667
PI-MW,9.58333333333333,125.733333333333
PI-MW,9.58333333333333,125.683333333333
PI-MW,9.6,125.633333333333
PI-MW,9.53333333333333,125.466666666667
PI-AE,14.9333333333333,120.2
PI-AE,14.6833333333333,120.266666666667
PI-AE,14.8333333333333,120.5
PI-AE,14.8833333333333,120.233333333333
PI-AE,14.6166666666667,120.566666666667
PI-IR,13.4166666666667,121.166666666667
PI-IR,13.35,121.083333333333
PI-UI,6.9,122.066666666667
PI-UN,14.6333333333333,121.033333333333
PI-UB,17.1666666666667,121.9
KR-KR,36.9365805555556,127.493755555556
TH-HM,18.6333333333333,98.0833333333333
TH-HM,19.9166666666667,100.116666666667
TH-HM,18.5333333333333,98.5166666666667
TH-HM,19.9333333333333,100.15
TH-KA,17.9666666666667,98.35
TH-KA,19.7,98.2333333333333
TH-KA,19.3833333333333,97.8833333333333
TH-LW,18.35,98.0833333333333
TH-MA,18.7,100.466666666667
TH-MO,18.5166666666667,98.9
TH-PL,19.9333333333333,99.15
TH-PL,19.9333333333333,99.15
TH-PP,20.4166666666667,99.8666666666667
TH-PP,20.1333333333333,99.8333333333333
TH-TK,18.6333333333333,98.85
TH-TL,19.15,100.933333333333
TH-TL,18.8666666666667,99.1166666666667
TH-TN,19.1333333333333,100.933333333333
TH-TN,19.45,100.85
TH-TU,19,98.9833333333333
TH-TU,19.1833333333333,98.9833333333333
TH-TU,18.4,98.75
TH-TU,14.55,100.883333333333
TH-TY,18.4,98.9333333333333
TH-YA,19.9833333333333,100.166666666667
TH-YA,19.3333333333333,100.433333333333
TH-YA,18.8333333333333,100.666666666667
TW-HA,25.0333333333333,121.516666666667
TW-HB,25.0333333333333,121.516666666667
SG-CH,1.35,103.8
SG-ML,1.35,103.8
SG-ID,1.35,103.8
CN-CC,24.4,110.233333333333
CN-CC,23.35,108.116666666667
CN-GA,23.3333333333333,113.5
CN-HM,26.25,108.666666666667
CN-JI,18.9333333333333,109.816666666667
CN-JN,22,101
CN-SH,31.2166666666667,121.5
CN-UG,37.05,86.6166666666667
CN-WA,22.7833333333333,100.233333333333
CN-WA,22.4,99.7833333333333
ID-AL,-8.28333333333333,124.733333333333
ID-DY,1.23333333333333,116.666666666667
ID-JA,-6.15,106.7
ID-JV,-7.33333333333333,110.366666666667
ID-KR,1.51666666666667,99.95
ID-LA,-8.33333333333333,123
ID-LE,-8.3,124.666666666667
ID-ML,-2.98333333333333,104.733333333333
ID-MT,-0.283333333333333,98.4166666666667
ID-RA,-8.65,120.45
ID-SB,-9.75,120
ID-SO,-8.63333333333333,120.116666666667
ID-SU,-6.15,106.7
ID-TB,2.31666666666667,99.0666666666667
ID-TR,-4.73333333333333,119.716666666667
IN-DR,15.25,77.7666666666667
IN-DR,15.4833333333333,74.75
IN-EL,22.95,88.1833333333333
IN-IL,26.65,74
IN-NI,30.4,79.1666666666667
IN-NL,26.7666666666667,81.4166666666667
IN-SP,29.1166666666667,76.4833333333333
IN-TB,34.6833333333333,76.45
IN-WI,26.65,74
IN-WL,19.6833333333333,75.8666666666667
AX-AI,-10.6166666666667,-62.7666666666667
AX-AI,18.6166666666667,-90.6833333333333
AX-AI,-12.0333333333333,-77
AX-AI,-1.63333333333333,-78.5
AX-AI,29.8166666666667,-110.716666666667
AX-AM,23.7333333333333,121.4
AX-AT,24.6333333333333,121.433333333333
AX-ME,-6.23333333333333,155.133333333333
CEU,39.9166666666667,-116.383333333333
CHB,39.9833333333333,116.383333333333
JPT,35.6666666666667,139.75
YRI,7.38333333333333,3.9
